rank,city,state,population,latitude,longitude
8787,Somerset,OH,1462,39.8072327,-82.2992712
8788,Mill Hall,PA,1461,41.10729,-77.48443
8789,Graysville,TN,1461,35.4470137,-85.0844001
8790,Ferron,UT,1461,39.0935829,-111.1332247
8791,Dassel,MN,1461,45.0816298,-94.3069284
8792,Uintah,UT,1460,40.1943199,-109.5770955
8793,Lake Winnebago,MO,1460,38.8313975,-94.3585603
8794,Johnson City,KS,1460,37.5681585,-101.7526848
8795,Irwindale,CA,1460,34.1069927,-117.934214
8796,Dawson,MN,1460,44.932738,-96.054481
8797,Avis,PA,1460,41.1847939,-77.3138622
8798,Standish,MI,1458,43.983076,-83.95888
8799,Powhatan Point,OH,1458,39.860075,-80.815368
8800,Oceana,WV,1458,37.6920026,-81.623752
8801,Powhatan Point,OH,1458,39.860075,-80.815368
8802,Simmesport,LA,1457,30.9842886,-91.8108698
8803,Keystone Heights,FL,1456,29.7860769,-82.0314892
8804,Vienna,IL,1455,37.4153295,-88.8978435
8805,Cornell,WI,1454,45.1671881,-91.1493107
8806,Coloma,MI,1454,42.1861494,-86.308356
8807,Blawnox,PA,1453,40.4934017,-79.8606053
8808,Bridgeport,NE,1452,41.6666399,-103.0976578
8809,Towanda,KS,1452,37.797517,-96.999758
8810,Aragon,GA,1452,34.0433114,-85.0594087
8811,Wheaton,MN,1452,45.804405,-96.499233
8812,Rockaway Beach,OR,1452,45.613598,-123.943147
8813,Columbus,NM,1451,31.8327963,-107.640227
8814,Deposit,NY,1449,42.0600834,-75.4276769
8815,Sea Bright,NJ,1449,40.3615488,-73.9742051
8816,Kinsley,KS,1449,37.9230723,-99.4098385
8817,Flomaton,AL,1449,31.0160615,-87.25546269
8818,Millbrook,NY,1448,41.7865038,-73.6921867
8819,Manning,IA,1448,41.9091528,-95.0649917
8820,Ravenna,NE,1448,41.0253609,-98.9125933
8821,Leland Grove,IL,1446,39.7790889,-89.68224787
8822,Crainville,IL,1446,37.7519945,-89.0678543
8823,Seaside Park,NJ,1445,39.9267808,-74.0763847
8824,New Windsor,MD,1445,39.5420455,-77.1080376
8825,Dunes City,OR,1445,43.883117,-124.1150794
8826,Sutton,NE,1444,40.6065876,-97.8593988
8827,Edgar,WI,1444,44.9271888,-89.9634629
8828,Langhorne Manor,PA,1443,40.1670539,-74.9176664
8829,Thorntown,IN,1443,40.1294839,-86.6066706
8830,Montezuma,IA,1443,41.585834,-92.5274092
8831,Paonia,CO,1442,38.8683205,-107.5920018
8832,Bryson City,NC,1441,35.4309291,-83.447381
8833,Emerson,GA,1441,34.1270427,-84.7554925
8834,Plandome,NY,1441,40.8067675,-73.7034639
8835,Jackson Center,OH,1440,40.4394935,-84.0402203
8836,West Salem,OH,1440,40.9714448,-82.1098748
8837,Tonka Bay,MN,1440,44.9085741,-93.5930133
8838,Pilot Mountain,NC,1440,36.3401384,-80.4742242
